trace_id,t,throughput_kbps
sweden_1247,3,12929.76
sweden_1247,4,13899.2
sweden_1247,5,13980.960000000001
sweden_1247,6,14389.76
sweden_1247,7,14927.039999999999
sweden_1247,8,16422.079999999998
sweden_1247,9,16597.28
sweden_1247,10,17391.519999999997
sweden_1247,11,17251.36
sweden_1247,12,17414.879999999997
sweden_1247,13,17239.68
sweden_1247,14,16690.72
sweden_1247,15,16608.96
sweden_1247,16,16503.84
sweden_1247,17,16877.6
sweden_1247,18,16655.68
sweden_1247,19,11609.92
sweden_1247,20,23219.84
sweden_1247,21,11718.933333333332
sweden_1260,0,3796.0
sweden_1260,1,4555.2
sweden_1260,2,4636.96
sweden_1260,3,4613.6
sweden_1260,4,4543.52
sweden_1260,5,4531.84
sweden_1260,6,4543.5199999999995
sweden_1260,7,4543.52
sweden_1260,8,4601.92
sweden_1260,9,3667.5199999999995
sweden_1260,10,5594.719999999999
sweden_1260,11,4543.5199999999995
sweden_1260,12,4613.6
sweden_1260,13,4473.4400000000005
sweden_1260,14,4169.76
sweden_1260,15,4590.24
sweden_1260,16,4543.5199999999995
sweden_1260,17,4531.84
sweden_1260,18,4496.8
sweden_1260,19,4333.280000000001
sweden_1260,20,5285.2
sweden_1261,0,3772.6400000000003
sweden_1261,1,4531.84
sweden_1261,2,4508.48
sweden_1261,3,4578.5599999999995
sweden_1261,4,4578.5599999999995
sweden_1261,5,4566.88
sweden_1261,6,4566.88
sweden_1261,7,4625.280000000001
sweden_1261,8,3585.7599999999998
sweden_1261,9,5676.4800000000005
sweden_1261,10,4636.96
sweden_1261,11,4625.280000000001
sweden_1261,12,4520.16
sweden_1261,13,4531.84
sweden_1261,14,4520.16
sweden_1261,15,4461.76
sweden_1261,16,4251.52
sweden_1261,17,4496.8
sweden_1261,18,4543.5199999999995
sweden_1261,19,4520.16
sweden_1261,20,4058.8
sweden_1262,0,4041.28
sweden_1262,1,4520.16
sweden_1262,2,4812.16
sweden_1262,3,4800.4800000000005
sweden_1262,4,4672.0
sweden_1262,5,4823.84
sweden_1262,6,4812.16
sweden_1262,7,1950.5600000000002
sweden_1262,8,7346.719999999999
sweden_1262,9,4531.84
sweden_1262,10,4847.2
sweden_1262,11,4812.16
sweden_1262,12,4438.4
sweden_1262,13,4625.280000000001
sweden_1262,14,4730.4
sweden_1262,15,4823.84
sweden_1262,16,4765.4400000000005
sweden_1262,17,4660.32
sweden_1262,18,3422.2399999999993
sweden_1262,19,5664.8
sweden_1262,20,4508.4800000000005
