trace_id,t,throughput_kbps
italy_1255,16,31933.120000000003
italy_1255,17,31792.96
italy_1255,18,31302.4
italy_1255,19,31944.8
italy_1255,20,30251.2
italy_1268,0,20685.28
italy_1268,1,26221.6
italy_1268,2,28218.879999999997
italy_1268,3,29375.2
italy_1268,4,26677.120000000003
italy_1268,5,29854.079999999998
italy_1268,6,30671.68
italy_1268,7,31115.52
italy_1268,8,31559.359999999997
italy_1268,9,31536.0
italy_1268,10,31781.28
italy_1268,11,31757.920000000002
italy_1268,12,31792.96
italy_1268,13,31781.28
italy_1268,14,31711.2
italy_1268,15,31757.920000000002
italy_1268,16,31547.68
italy_1268,17,31687.840000000004
italy_1268,18,31781.28
italy_1268,19,31886.4
italy_1268,20,26104.8
italy_1269,0,27564.8
italy_1269,1,31255.68
italy_1269,2,31664.48
italy_1269,3,31944.8
italy_1269,4,31944.8
italy_1269,5,31746.24
italy_1269,6,31886.4
italy_1269,7,31863.04
italy_1269,8,31909.76
italy_1269,9,31898.079999999998
italy_1269,10,31886.4
italy_1269,11,31968.159999999996
italy_1269,12,31933.120000000003
italy_1269,13,31921.440000000002
italy_1269,14,31933.120000000003
italy_1269,15,31979.840000000004
italy_1269,16,22262.079999999998
italy_1269,17,41230.4
italy_1269,18,31898.079999999998
italy_1269,19,31757.920000000002
italy_1269,20,30406.933333333334
italy_1270,0,27553.120000000003
italy_1270,1,31886.4
italy_1270,2,31804.640000000003
italy_1270,3,31909.76
italy_1270,4,31839.68
italy_1270,5,31746.24
italy_1270,6,31687.840000000004
italy_1270,7,31909.76
italy_1270,8,31442.559999999998
italy_1270,9,31279.04
italy_1270,10,31909.76
italy_1270,11,31839.68
italy_1270,12,31804.640000000003
italy_1270,13,31781.28
italy_1270,14,31781.28
italy_1270,15,31828.0
italy_1270,16,31746.24
italy_1270,17,31921.440000000002
italy_1270,18,31933.120000000003
italy_1270,19,31734.559999999998
italy_1270,20,28246.13333333333
italy_1271,0,27973.6
italy_1271,1,31757.920000000002
italy_1271,2,31874.72
